Cell,Longitude,Latitude
D08A094,117.07418,36.12191
D080011,117.122222,36.190555
D080012,117.122222,36.190555
D080013,117.122222,36.190555
G080021,117.15537,36.19021
G080022,117.15537,36.19021
G080023,117.15537,36.19021
G080031,117.10364,36.1884
G080032,117.10364,36.1884
G080033,117.10364,36.1884
G080041,117.06731,36.18502
G080042,117.06731,36.18502
G080043,117.06731,36.18502
G080044,117.06731,36.18502
G080051,117.11713,36.20198
G080052,117.11713,36.20198
G080053,117.11713,36.20198
G080061,117.117701,36.14861
G080062,117.117701,36.14861
G080063,117.117701,36.14861
G080064,117.117701,36.14861
D080065,117.117701,36.14861
G080071,117.13128,36.19815
G080072,117.13128,36.19815
G080073,117.13128,36.19815
D080075,117.13128,36.19815
G080074,117.13128,36.19815
G080081,117.14,36.191388
G080082,117.14,36.191388
G080083,117.14,36.191388
G080091,117.13533,36.17741
G080092,117.13533,36.17741
G080093,117.13533,36.17741
G080101,117.11498,36.18195
G080102,117.11498,36.18195
G080103,117.11498,36.18195
G080111,116.95215,36.10106
G080112,116.95215,36.10106
G080113,116.95215,36.10106
G080131,117.07368,36.06707
G080132,117.07368,36.06707
G080133,117.07368,36.06707
G080151,116.93063,36.20464
G080152,116.93063,36.20464
G080171,117.239722,36.160278
G080172,117.239722,36.160278
G080173,117.239722,36.160278
G080191,117.42,36.079167
G080192,117.42,36.079167
G080201,117.09099,35.96379
G080202,117.09099,35.96379
G080203,117.09099,35.96379
G080211,117.0646,36.20299
G080212,117.0646,36.20299
G080213,117.0646,36.20299
G080221,117.08916,36.19713
G080222,117.08916,36.19713
G080223,117.08916,36.19713
G080231,117.10589,36.20096
G080232,117.10589,36.20096
G080233,117.10589,36.20096
G080241,117.14898,36.20364
G080242,117.14898,36.20364
G080243,117.14898,36.20364
G080244,117.14898,36.20364
G080251,117.0228056,36.19933333
G080252,117.0228056,36.19933333
G080253,117.0228056,36.19933333
G080261,117.3141,36.12762
G080262,117.3141,36.12762
G080263,117.3141,36.12762
G080264,117.3141,36.12762
G080281,116.99302,36.25245
G080282,116.99302,36.25245
G080283,116.99302,36.25245
G080291,117.122222,36.190555
G080292,117.122222,36.190555
G080293,117.122222,36.190555
G080301,117.10224,36.2574
G080302,117.10224,36.2574
G080303,117.10224,36.2574
G080304,117.10252,36.25828
G080311,117.0751,36.19694
G080312,117.0751,36.19694
G080313,117.0751,36.19694
G080321,117.09014,36.1832
G080322,117.09014,36.1832
G080323,117.09014,36.1832
G080331,117.07308,36.16916
G080332,117.07308,36.16916
G080333,117.07308,36.16916
G080341,117.11206,36.17275
G080342,117.11206,36.17275
G080343,117.11206,36.17275
D080344,117.11206,36.17275
G080351,117.13156,36.16368
G080352,117.13156,36.16368
G080353,117.13156,36.16368
G080361,117.20576,36.19985
G080362,117.20576,36.19985
G080363,117.20576,36.19985
G080364,117.20576,36.19985
G080371,117.15517,36.18082
G080372,117.15517,36.18082
G080373,117.15517,36.18082
G080381,117.11124,36.1891
G080382,117.11124,36.1891
G080383,117.11124,36.1891
G080384,117.11124,36.1891
D080385,117.11124,36.1891
G080391,117.13167,36.18561
G080392,117.13167,36.18561
G080393,117.13167,36.18561
G080401,117.17192,36.20253
G080402,117.17192,36.20253
G080403,117.17192,36.20253
G080411,117.14977,36.07512
G080412,117.14977,36.07512
G080413,117.14977,36.07512
G080441,116.99271,35.99693
G080442,116.99271,35.99693
G080443,116.99271,35.99693
G080461,117.27582,36.10142
G080462,117.27582,36.10142
G080463,117.27582,36.10142
G080481,117.42374,36.16519
G080482,117.42374,36.16519
G080483,117.42374,36.16519
G080491,117.20009,36.10401
G080492,117.20009,36.10401
G080493,117.20009,36.10401
G080511,117.10807,36.23875
G080512,117.10807,36.23875
G080513,117.10807,36.23875
G080521,117.04964,36.21112
G080522,117.04964,36.21112
G080523,117.04964,36.21112
G080531,117.02374,36.16689
G080532,117.02374,36.16689
G080533,117.02374,36.16689
G080541,117.12267,36.20938
G080542,117.12267,36.20938
G080543,117.12267,36.20938
G080551,117.12875,36.19501
G080552,117.12875,36.19501
G080553,117.12875,36.19501
G080561,117.11737,36.19611
G080562,117.11737,36.19611
G080563,117.11737,36.19611
G080571,117.10423,36.19191
G080572,117.10423,36.19191
G080573,117.10423,36.19191
G080591,117.09702,36.19296
G080592,117.09702,36.19296
G080593,117.09702,36.19296
G080601,117.11347,36.19216
G080603,117.11347,36.19216
G080611,117.00918,36.17407
G080612,117.00918,36.17407
G080613,117.00918,36.17407
G080631,117.12618,36.18344
G080632,117.12618,36.18344
G080633,117.12618,36.18344
G080641,117.19041,36.15631
G080642,117.19041,36.15631
G080643,117.19041,36.15631
G080651,117.10999,36.00343
G080652,117.10999,36.00343
G080653,117.10999,36.00343
G080661,117.38934,36.0934
G080662,117.38934,36.0934
G080663,117.38934,36.0934
G080671,117.15621,36.13953
G080672,117.15621,36.13953
G080673,117.15621,36.13953
G080681,116.87598,36.20273
G080682,116.87598,36.20273
G080701,117.17982,36.24952
G080702,117.17982,36.24952
G080703,117.17982,36.24952
G080711,116.9906,36.21867
G080712,116.9906,36.21867
G080741,117.10605,36.09968
G080742,117.10605,36.09968
G080743,117.10605,36.09968
G080751,117.2011111,36.03722222
G080761,117.09154,36.15809
G080762,117.09154,36.15809
D080764,117.09154,36.15809
G080763,117.09154,36.15809
G080771,117.13583,36.26783
G080791,117.16239,36.16346
G080792,117.16239,36.16346
G080793,117.16239,36.16346
G080801,117.18018,36.17321
G080802,117.18018,36.17321
G080803,117.18018,36.17321
G080811,116.9165,36.154
G080812,116.9165,36.154
G080821,116.98107,36.0444
G080822,116.98107,36.0444
G080831,117.0808333,36.13444444
G080832,117.0808333,36.13444444
G080833,117.0808333,36.13444444
G080851,117.1553,36.2138
D080854,117.1553,36.2138
G080852,117.1553,36.2138
G080853,117.1553,36.2138
G080861,117.10347,36.18276
