"taxi_no","date","time","lon","lat"
"B001B2","2009-09-11","00:22:15","114.03819","22.55755"
"B001B2","2009-09-11","00:23:10","114.03502","22.5568"
"B001B2","2009-09-11","00:25:00","114.03448","22.54788"
"B001B2","2009-09-11","00:25:55","114.03557","22.54192"
"B001B2","2009-09-11","00:25:55","114.03557","22.54192"
"B001B2","2009-09-11","00:26:50","114.02858","22.5404"
"B001B2","2009-09-11","00:27:45","114.01572","22.5382"
"B001B2","2009-09-11","00:28:40","114.00729","22.53702"
"B001B2","2009-09-11","00:29:35","114.00788","22.53815"
"B001B2","2009-09-11","00:30:30","114.00705","22.5381"
"B001B2","2009-09-11","00:33:15","114.0081","22.53668"
"B001B2","2009-09-11","00:34:10","114.0192","22.53855"
"B001B2","2009-09-11","00:35:05","114.031","22.54062"
"B001B2","2009-09-11","00:36:00","114.03551","22.54143"
"B001B2","2009-09-11","00:36:55","114.0352","22.54448"
"B001B2","2009-09-11","00:37:50","114.03457","22.54793"
"B001B2","2009-09-11","00:39:40","114.0349","22.55483"
"B001B2","2009-09-11","00:39:40","114.0349","22.55483"
"B001B2","2009-09-11","00:40:35","114.03425","22.55608"
"B001B2","2009-09-11","00:41:30","114.03743","22.55732"
"B001B2","2009-09-11","00:42:26","114.03805","22.55733"
"B001B2","2009-09-11","01:02:16","114.03896","22.5242"
"B001B2","2009-09-11","01:06:05","114.03896","22.5242"
"B001B2","2009-09-11","01:07:00","114.03852","22.52857"
"B001B2","2009-09-11","01:07:55","114.04337","22.53107"
"B001B2","2009-09-11","01:07:55","114.04337","22.53107"
"B001B2","2009-09-11","01:08:50","114.0528","22.53127"
"B001B2","2009-09-11","01:10:40","114.06944","22.53095"
"B001B2","2009-09-11","01:11:35","114.06858","22.53848"
"B001B2","2009-09-11","01:12:30","114.07227","22.53587"
"B001B6","2009-09-11","00:15:22","114.06737","22.51925"
"B001B6","2009-09-11","00:26:55","114.06613","22.519"
"B001B6","2009-09-11","00:27:50","114.06361","22.51902"
"B001B6","2009-09-11","00:28:45","114.06247","22.52252"
"B001B6","2009-09-11","00:29:40","114.0632","22.52553"
"B001B6","2009-09-11","00:30:35","114.06325","22.53123"
"B001B6","2009-09-11","00:31:30","114.06911","22.53168"
"B001B6","2009-09-11","00:32:25","114.07868","22.53415"
"B001B6","2009-09-11","00:33:20","114.08823","22.53745"
